"origen_n","origen_tweet_id","origen_usuario","origen_nombre","tipo_relacion","destino_n","destino_tweet_id","destino_usuario","destino_nombre","misma_cuenta","diferencia_likes","diferencia_reposts","diferencia_comentarios","diferencia_reproducciones"
"1","2037145702506119642","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","independiente","","","","","false","","","",""
"2","2037153728902434956","@alfredjoe80","Alfredo Pinoargote Quiroz","respuesta","1","2037145702506119642","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","-425","-117","-63","-42000"
"3","2037174967318585635","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","respuesta","2","2037153728902434956","@alfredjoe80","Alfredo Pinoargote Quiroz","false","-17","0","1","0"
"4","2037192738370633869","@The_JuanG","Juan G","respuesta","3","2037174967318585635","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","-10","0","-2","-829"
"5","2037217653937303789","@alfredjoe80","Alfredo Pinoargote Quiroz","respuesta","4","2037192738370633869","@The_JuanG","Juan G","false","-3","0","0","-9"
"6","2042475923040055552","@PatSnapEureka","PatSnap Eureka","relacion_visual","5","2037217653937303789","@alfredjoe80","Alfredo Pinoargote Quiroz","false","72","11","13","440838"
"7","2037153126248075387","@LuisHannaNader","Luis HANNA Nader","respuesta","5","2037217653937303789","@alfredjoe80","Alfredo Pinoargote Quiroz","false","44","2","2","838"
"8","2037175422262083787","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","respuesta","7","2037153126248075387","@LuisHannaNader","Luis HANNA Nader","false","-36","-1","-1","-37"
"9","2037177345555980763","@LuisHannaNader","Luis HANNA Nader","respuesta","8","2037175422262083787","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","-6","-1","-2","-681"
"10","2037157520691605942","@hugotrajes","Víctor Prieto","respuesta","9","2037177345555980763","@LuisHannaNader","Luis HANNA Nader","false","14","0","1","718"
"11","2037174642566176994","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","respuesta","10","2037157520691605942","@hugotrajes","Víctor Prieto","false","-13","0","-1","-243"
"12","2037181473447379243","@MarinaPau23","marina","respuesta","11","2037174642566176994","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","-3","0","2","151"
"13","2037182538393731148","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","respuesta","12","2037181473447379243","@MarinaPau23","marina","false","20","0","2","-194"
"14","2037183766225895604","@MarinaPau23","marina","respuesta","13","2037182538393731148","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","-19","0","-2","-376"
"15","2037185311134937108","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","respuesta","14","2037183766225895604","@MarinaPau23","marina","false","5","0","-2","-135"
"16","2037276739768901763","@LuisDGO78","Luis De Guzman","respuesta","15","2037185311134937108","@DiegoArcos14","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","false","19","6","4","797"
"17","2037150073994256788","@cxaviergr","Enjoy the Silence","respuesta","16","2037276739768901763","@LuisDGO78","Luis De Guzman","false","-9","-5","-1","-170"
"18","1831393392040743000","@Findjobit","Findjobit","relacion_visual","17","2037150073994256788","@cxaviergr","Enjoy the Silence","false","555","112","7","8999170"
"19","2037181904957374718","@MarinaPau23","marina","respuesta","17","2037150073994256788","@cxaviergr","Enjoy the Silence","false","-8","2","-2","-468"
"20","2037161388456456465","@milenialmentor","Millennial Mentor","respuesta","19","2037181904957374718","@MarinaPau23","marina","false","2","-2","1","497"
"21","2037173969225195536","@kavm75","kleber valarezo","respuesta","20","2037161388456456465","@milenialmentor","Millennial Mentor","false","-1","0","-2","-369"
"22","2037172509552803949","@MarcelFeraud","Marcel D. Feraud","respuesta","21","2037173969225195536","@kavm75","kleber valarezo","false","0","-1","1","236"
"23","2037189110746468599","@rorrantia","ROP","respuesta","22","2037172509552803949","@MarcelFeraud","Marcel D. Feraud","false","-3","1","-1","-311"
"24","2037173509177082118","@carriondaniel","Daniel Carrión","respuesta","23","2037189110746468599","@rorrantia","ROP","false","1","-1","0","6"
"25","2037235665960608203","@DLaroquet","Dinamo George LaRoquet","respuesta","24","2037173509177082118","@carriondaniel","Daniel Carrión","false","-1","0","0","-287"
"26","2037166786185932939","@normanjr72","Norman Espinoza","respuesta","25","2037235665960608203","@DLaroquet","Dinamo George LaRoquet","false","-1","0","0","279"
"27","2041537696959741954","@LocalizaEcuador","Localiza EC","relacion_visual","26","2037166786185932939","@normanjr72","Norman Espinoza","false","111","24","0","960587"
"28","2037231239279571103","@DanielNivelo2","Rey David","respuesta","26","2037166786185932939","@normanjr72","Norman Espinoza","false","0","0","0","-169"
"29","2037162320586068015","@JbJuliobenites","JulioCTBS","respuesta","28","2037231239279571103","@DanielNivelo2","Rey David","false","-1","0","0","96"
"30","2037153006337044889","@veronicanlu","veronica","respuesta","29","2037162320586068015","@JbJuliobenites","JulioCTBS","false","-1","0","0","-23"
"31","2037178058751221911","@MickyMunozJ","José Miguel","respuesta","30","2037153006337044889","@veronicanlu","veronica","false","0","0","0","-134"
"32","2037283513137795357","@Gabipallares","Gabriela Pallares","respuesta","31","2037178058751221911","@MickyMunozJ","José Miguel","false","-2","1","0","-69"
"33","2037185374481473924","@tntevalle","Enrique Antonio","respuesta","32","2037283513137795357","@Gabipallares","Gabriela Pallares","false","2","-1","0","202"
"34","2037225737317437768","@facosta1969","facosta","respuesta","33","2037185374481473924","@tntevalle","Enrique Antonio","false","0","0","0","-62"
"35","2037248704042701149","@IIMAGustavo","Gustavo Pacheco","respuesta","34","2037225737317437768","@facosta1969","facosta","false","-1","0","0","-60"
"36","2034626883942248552","@wcbleaders","World Class Business Leaders","relacion_visual","35","2037248704042701149","@IIMAGustavo","Gustavo Pacheco","false","398","95","0","4999806"
"37","2037162054558048310","@LV1974191606","LV1974","respuesta","35","2037248704042701149","@IIMAGustavo","Gustavo Pacheco","false","0","0","0","90"
"38","2037206054992334997","@carlos_and56483","Juan Carlos andrade","respuesta","37","2037162054558048310","@LV1974191606","LV1974","false","-2","1","0","-189"
"39","2037148387053608990","@minorl24","Mino","respuesta","38","2037206054992334997","@carlos_and56483","Juan Carlos andrade","false","2","-1","0","453"
"40","2037213955827900808","@psgyq","Pedro Suárez","respuesta","39","2037148387053608990","@minorl24","Mino","false","0","0","0","-265"
"41","2037184422475116555","@LCalderon22576","Leon","respuesta","40","2037213955827900808","@psgyq","Pedro Suárez","false","0","0","0","-156"
"42","2037198526283739212","@PBeyota","Pablito Beyota","respuesta","41","2037184422475116555","@LCalderon22576","Leon","false","0","0","1","143"
"43","2037237537509347373","@viajero3011","26 mar.","respuesta","42","2037198526283739212","@PBeyota","Pablito Beyota","false","0","0","-1","-79"
"44","2037148580683628591","@carlvasq","Carlos Vasquez Villa","respuesta","43","2037237537509347373","@viajero3011","26 mar.","false","-1","0","0","171"
"45","2044806541241467122","@TheFP","The Free Press","relacion_visual","44","2037148580683628591","@carlvasq","Carlos Vasquez Villa","false","268","35","0","328638"
"46","2037234218409853221","@peperina79","Peperina79","respuesta","44","2037148580683628591","@carlvasq","Carlos Vasquez Villa","false","0","0","1","-152"
"47","2037152670142673056","@JC_UgarteNiemes","Juan Carlos Ugarte Niemes","respuesta","46","2037234218409853221","@peperina79","Peperina79","false","0","0","-1","-167"
"48","2037475836652093478","@kaingye74","Kain","respuesta","47","2037152670142673056","@JC_UgarteNiemes","Juan Carlos Ugarte Niemes","false","0","0","0","-9"
"49","2037210037383319561","@jorgeluisalva13","jorge luis alvarado®","respuesta","48","2037475836652093478","@kaingye74","Kain","false","0","0","1","193"
"50","2037158997011169690","@Frankli15137677","Franklin Diaz","respuesta","49","2037210037383319561","@jorgeluisalva13","jorge luis alvarado®","false","0","0","-1","125"
"51","2037195069577396491","@AntonioS71","Antonio S.","respuesta","50","2037158997011169690","@Frankli15137677","Franklin Diaz","false","0","0","1","-213"
"52","2037152416022282591","@esinedselasor","Denise Rosales","respuesta","51","2037195069577396491","@AntonioS71","Antonio S.","false","0","0","-1","156"
"53","2037208925431320731","@Lagertha_49","Liss","respuesta","52","2037152416022282591","@esinedselasor","Denise Rosales","false","0","0","0","-203"
"54","2037215781058969915","@luchefe","Lucho Flores","respuesta","53","2037208925431320731","@Lagertha_49","Liss","false","0","0","0","-13"
"55","2037237655075758559","@GranizoEnr87571","MARIO GRANIZO","respuesta","54","2037215781058969915","@luchefe","Lucho Flores","false","0","0","0","-32"
"56","2037146640734159257","@papachucho","Papachucho","respuesta","55","2037237655075758559","@GranizoEnr87571","MARIO GRANIZO","false","-1","0","0","239"
"57","1755613007147909471","@SPanel_Platform","SPanel","relacion_visual","56","2037146640734159257","@papachucho","Papachucho","false","10000","701","259","60999714"
"58","2037193433660469444","@JohnnyJonupa2","Johnny","respuesta","56","2037146640734159257","@papachucho","Papachucho","false","0","0","0","-151"
"59","2037231222548566332","@Geova257","GMH","respuesta","58","2037193433660469444","@JohnnyJonupa2","Johnny","false","0","0","0","-51"
"60","2037494068633067771","@gabobarbae","Gabriel Barba E.","respuesta","59","2037231222548566332","@Geova257","GMH","false","0","0","0","12"
"61","2037224351313932298","@LuisCeballos91","Luis Ceballos","respuesta","60","2037494068633067771","@gabobarbae","Gabriel Barba E.","false","0","0","0","87"
"62","2037276726816821745","@CarminCaceresA","Carmin","respuesta","61","2037224351313932298","@LuisCeballos91","Luis Ceballos","false","0","0","0","-107"
"63","2037526624959152547","@OswaldoGon88771","Oswaldo González","respuesta","62","2037276726816821745","@CarminCaceresA","Carmin","false","0","0","0","-58"
"64","2037283718121881605","@Billyvsec","Billy","respuesta","63","2037526624959152547","@OswaldoGon88771","Oswaldo González","false","0","0","0","61"
"65","2037318507411485085","@AlbertoLNegronA","Alberto Negron Adum","respuesta","64","2037283718121881605","@Billyvsec","Billy","false","0","0","0","-41"
"66","2037173319842119826","@Pateomasones","UnHispano","respuesta","65","2037318507411485085","@AlbertoLNegronA","Alberto Negron Adum","false","0","0","0","126"
"67","2037384491484758293","@Ricardo_Flowers","Ricardo Flores","respuesta","66","2037173319842119826","@Pateomasones","UnHispano","false","0","0","0","-52"
"68","2037183979560882401","@xcvalentino","Javier Castro","respuesta","67","2037384491484758293","@Ricardo_Flowers","Ricardo Flores","false","0","0","0","47"
"69","2037192074114576558","@Junior01001","Darwin García Ramírez.","respuesta","68","2037183979560882401","@xcvalentino","Javier Castro","false","0","0","0","-87"
"70","2037717804703428923","@johnx22","spice road","respuesta","69","2037192074114576558","@Junior01001","Darwin García Ramírez.","false","0","0","0","-12"
"71","2037232202715431350","@manaba_guayaco","fabian14","respuesta","70","2037717804703428923","@johnx22","spice road","false","0","0","0","98"
"72","2037257204546351219","@LaEsposaDeBrad","Sammy","respuesta","71","2037232202715431350","@manaba_guayaco","fabian14","false","0","0","0","-89"
"73","2037284021785522657","@vier","26 mar.","respuesta","72","2037257204546351219","@LaEsposaDeBrad","Sammy","false","0","0","0","-37"
"74","2038971641913315704","@xavicoenrique","Segundo E.","respuesta","73","2037284021785522657","@vier","26 mar.","false","0","0","0","-20"
"75","2037193757875986937","@yoyovaldez1","Jorge Valdez","respuesta","74","2038971641913315704","@xavicoenrique","Segundo E.","false","0","0","0","45"
"76","2037255169121857720","@versgyenorte7","gusvasconezvega","respuesta","75","2037193757875986937","@yoyovaldez1","Jorge Valdez","false","0","0","0","-35"
"77","2038046723151413411","@travelfan7501","Robert.TravelFan","respuesta","76","2037255169121857720","@versgyenorte7","gusvasconezvega","false","0","0","0","-4"
"78","2038045687300894975","@travelfan7501","Robert.TravelFan","respuesta","77","2038046723151413411","@travelfan7501","Robert.TravelFan","true","0","0","0","23"
