"n","tweet_id","url","nombre_usuario","usuario","fecha","numero_comentarios","numero_reposts","numero_likes","numero_reproducciones","texto","parent_n","parent_tweet_id","parent_usuario","tipo_relacion"
"1","2037145702506119642","https://x.com/DiegoArcos14/status/2037145702506119642","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","@DiegoArcos14","2026-03-26T12:32:38.000Z","65","117","455","43000","Ha causado todo tipo de reflexiones esta pieza audiovisual sobre Urdesa. Muchos de estos lugares fueron escenarios de mi crecimiento. Un barrio clásico, de personalidades cambiantes, casi como si respirara distinto en cada esquina. No tengo credenciales para sentenciarlo como perdido… pero sí cargo profundas cantidades de ilusión. Ilusión de volver a encontrarme con la Urdesa de siempre, esa que no era perfecta, pero sí de todos, esa que todavía insiste en aparecer. Música Willo Borja","","","","independiente"
"2","2037153728902434956","https://x.com/alfredjoe80/status/2037153728902434956","Alfredo Pinoargote Quiroz","@alfredjoe80","2026-03-26T13:04:32.000Z","2","0","30","1000","Tantos recuerdos en el cine Maya, Bopán y el mini market de “los gitanos”. Y qué decir del Policine con las mini donuts que eran riquísimas. Y el jugo de naranjilla y sanduche aplastado de queso y jamón en Casa Tosi.","1","2037145702506119642","@DiegoArcos14","respuesta"
"3","2037174967318585635","https://x.com/DiegoArcos14/status/2037174967318585635","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","@DiegoArcos14","2026-03-26T14:28:55.000Z","3","0","13","1000","El cine maya...parte fundamental de muchas vidas","2","2037153728902434956","@alfredjoe80","respuesta"
"4","2037192738370633869","https://x.com/The_JuanG/status/2037192738370633869","Juan G","@The_JuanG","2026-03-26T15:39:32.000Z","1","0","3","171","Lo maximo ir a la doble funcion","3","2037174967318585635","@DiegoArcos14","respuesta"
"5","2037217653937303789","https://x.com/alfredjoe80/status/2037217653937303789","Alfredo Pinoargote Quiroz","@alfredjoe80","2026-03-26T17:18:33.000Z","1","0","0","162","Exactamente!","4","2037192738370633869","@The_JuanG","respuesta"
"6","2042475923040055552","https://x.com/PatSnapEureka/status/2042475923040055552/analytics","PatSnap Eureka","@PatSnapEureka","","14","11","72","441000","For formulation teams, the bottleneck isn't finding formulation data. It's using it. PatSnap Eureka Formulation Agent is built for that shift.","5","2037217653937303789","@alfredjoe80","relacion_visual"
"7","2037153126248075387","https://x.com/LuisHannaNader/status/2037153126248075387","Luis HANNA Nader","@LuisHannaNader","2026-03-26T13:02:08.000Z","3","2","44","1000","Es una pena, Diego. Con mi papá siempre pensamos en Kennedy, Urdesa y Miraflores como un sector a desarrollar como distrito turístico, creativo y de emprendimiento. Su ubicación geográfica es privilegiada para desarrollarlo. Sólo requiere una organización y normativa distinta.","5","2037217653937303789","@alfredjoe80","respuesta"
"8","2037175422262083787","https://x.com/DiegoArcos14/status/2037175422262083787","𝒟𝑖𝑒𝑔𝑜 𝒜𝑟𝑐𝑜𝑠 𝒮𝑎𝑎𝑣𝑒𝑑𝑟𝑎","@DiegoArcos14","2026-03-26T14:30:44.000Z","2","1","8","963","Tiene q ser como Barranco en Lima","7","2037153126248075387","@LuisHannaNader","respuesta"
"9","2037177345555980763","https://x.com/LuisHannaNader/status/2037177345555980763","Luis HANNA Nader","@LuisHannaNader","2026-03-26T14:38:22.000Z","0","0","2","282","Es una opción, igual que Palermo Soho en Buenos Aires. Teníamos una idea un poco más amplia, más allá de lo hipster y bohemio. En algún momento lo conversaremos.","8","2037175422262083787","@DiegoArcos14","respuesta"
"10","2037157520691605942","https://x.com/hugotrajes/status/2037157520691605942","Víctor Prieto","@hugotrajes","2026-03-26T13:19:36.000Z","1","0","16","1000","Urdesa guarda tantas historias, por ejemplo el otro día alguien q vive por Costaneras, me comentaba q los papás en algún momento le dijeron q el Estero Salado fue un balneario, pero luego se contaminó por la mala planificación de la ciudad. Estoy seguro q URDESA no morirá.","9","2037177345555980763","@LuisHannaNader","respuesta"
