"relacion","cantidad","respuestas","continuaciones_hilo","relaciones_visuales","independientes"
"@DiegoArcos14 -> sin_padre","1","0","0","0","1"
"@alfredjoe80 -> @DiegoArcos14","1","1","0","0","0"
"@DiegoArcos14 -> @alfredjoe80","1","1","0","0","0"
"@The_JuanG -> @DiegoArcos14","1","1","0","0","0"
"@alfredjoe80 -> @The_JuanG","1","1","0","0","0"
"@PatSnapEureka -> @alfredjoe80","1","0","0","1","0"
"@LuisHannaNader -> @alfredjoe80","1","1","0","0","0"
"@DiegoArcos14 -> @LuisHannaNader","1","1","0","0","0"
"@LuisHannaNader -> @DiegoArcos14","1","1","0","0","0"
"@hugotrajes -> @LuisHannaNader","1","1","0","0","0"
"@DiegoArcos14 -> @hugotrajes","1","1","0","0","0"
"@MarinaPau23 -> @DiegoArcos14","2","2","0","0","0"
"@DiegoArcos14 -> @MarinaPau23","2","2","0","0","0"
"@LuisDGO78 -> @DiegoArcos14","1","1","0","0","0"
"@cxaviergr -> @LuisDGO78","1","1","0","0","0"
"@Findjobit -> @cxaviergr","1","0","0","1","0"
"@MarinaPau23 -> @cxaviergr","1","1","0","0","0"
"@milenialmentor -> @MarinaPau23","1","1","0","0","0"
"@kavm75 -> @milenialmentor","1","1","0","0","0"
"@MarcelFeraud -> @kavm75","1","1","0","0","0"
"@rorrantia -> @MarcelFeraud","1","1","0","0","0"
"@carriondaniel -> @rorrantia","1","1","0","0","0"
"@DLaroquet -> @carriondaniel","1","1","0","0","0"
"@normanjr72 -> @DLaroquet","1","1","0","0","0"
"@LocalizaEcuador -> @normanjr72","1","0","0","1","0"
"@DanielNivelo2 -> @normanjr72","1","1","0","0","0"
"@JbJuliobenites -> @DanielNivelo2","1","1","0","0","0"
"@veronicanlu -> @JbJuliobenites","1","1","0","0","0"
"@MickyMunozJ -> @veronicanlu","1","1","0","0","0"
"@Gabipallares -> @MickyMunozJ","1","1","0","0","0"
"@tntevalle -> @Gabipallares","1","1","0","0","0"
"@facosta1969 -> @tntevalle","1","1","0","0","0"
"@IIMAGustavo -> @facosta1969","1","1","0","0","0"
"@wcbleaders -> @IIMAGustavo","1","0","0","1","0"
"@LV1974191606 -> @IIMAGustavo","1","1","0","0","0"
"@carlos_and56483 -> @LV1974191606","1","1","0","0","0"
"@minorl24 -> @carlos_and56483","1","1","0","0","0"
"@psgyq -> @minorl24","1","1","0","0","0"
"@LCalderon22576 -> @psgyq","1","1","0","0","0"
"@PBeyota -> @LCalderon22576","1","1","0","0","0"
"@viajero3011 -> @PBeyota","1","1","0","0","0"
"@carlvasq -> @viajero3011","1","1","0","0","0"
"@TheFP -> @carlvasq","1","0","0","1","0"
"@peperina79 -> @carlvasq","1","1","0","0","0"
"@JC_UgarteNiemes -> @peperina79","1","1","0","0","0"
"@kaingye74 -> @JC_UgarteNiemes","1","1","0","0","0"
"@jorgeluisalva13 -> @kaingye74","1","1","0","0","0"
"@Frankli15137677 -> @jorgeluisalva13","1","1","0","0","0"
"@AntonioS71 -> @Frankli15137677","1","1","0","0","0"
"@esinedselasor -> @AntonioS71","1","1","0","0","0"
"@Lagertha_49 -> @esinedselasor","1","1","0","0","0"
"@luchefe -> @Lagertha_49","1","1","0","0","0"
"@GranizoEnr87571 -> @luchefe","1","1","0","0","0"
"@papachucho -> @GranizoEnr87571","1","1","0","0","0"
"@SPanel_Platform -> @papachucho","1","0","0","1","0"
"@JohnnyJonupa2 -> @papachucho","1","1","0","0","0"
"@Geova257 -> @JohnnyJonupa2","1","1","0","0","0"
"@gabobarbae -> @Geova257","1","1","0","0","0"
"@LuisCeballos91 -> @gabobarbae","1","1","0","0","0"
"@CarminCaceresA -> @LuisCeballos91","1","1","0","0","0"
"@OswaldoGon88771 -> @CarminCaceresA","1","1","0","0","0"
"@Billyvsec -> @OswaldoGon88771","1","1","0","0","0"
"@AlbertoLNegronA -> @Billyvsec","1","1","0","0","0"
"@Pateomasones -> @AlbertoLNegronA","1","1","0","0","0"
"@Ricardo_Flowers -> @Pateomasones","1","1","0","0","0"
"@xcvalentino -> @Ricardo_Flowers","1","1","0","0","0"
"@Junior01001 -> @xcvalentino","1","1","0","0","0"
"@johnx22 -> @Junior01001","1","1","0","0","0"
"@manaba_guayaco -> @johnx22","1","1","0","0","0"
"@LaEsposaDeBrad -> @manaba_guayaco","1","1","0","0","0"
"@vier -> @LaEsposaDeBrad","1","1","0","0","0"
"@xavicoenrique -> @vier","1","1","0","0","0"
"@yoyovaldez1 -> @xavicoenrique","1","1","0","0","0"
"@versgyenorte7 -> @yoyovaldez1","1","1","0","0","0"
"@travelfan7501 -> @versgyenorte7","1","1","0","0","0"
"@travelfan7501 -> @travelfan7501","1","1","0","0","0"
